Giá,DT,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
"4,4 tỷ",75 m,Đường Tân Thái, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng,_,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,2,Y,15m,3,---
"13,5 tỷ",87 m,Đường Lê Thanh Nghị, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,Đông,---,Cần bán,105m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,5m",4,---,"19,4m",7,---
17 tỷ,93 m,Đường Trần Phú, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,"10,m",---,Nhà mặt tiền,---,---,4m,2,---,23m,3,---
"2,17 tỷ",72 m,Đường Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng,Tây Bắc,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,2,Y,---,3,---
6 tỷ,149 m,Đường Bùi Huy Bích, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"8,3m",---,---,18m,---,---
"6,6 tỷ",80 m,Đường Trần Đức Thông, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,Đông Bắc,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Giấy tờ hợp lệ,---,5m,---,---,16m,---,---
"4,3 tỷ",80 m,Đường Hồ Sĩ Tân, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng,Tây Bắc,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,---,Y,16m,3,---
"4,5 tỷ",85 m,Đường Thi Sách, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng,Đông,Y,Cần bán,6m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,1,Y,17m,2,---
"7,3 tỷ",70 m,Đường Hoàng Bích Sơn, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng,Đông,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"4,5m",---,---,"15,5m",---,---
16 tỷ,120 m,Đường Hải Phòng, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng,Tây Nam,Y,Cần bán,12m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"4,9m",7,Y,"17,5m",18,---
6 tỷ,145 m,Đường Ngô Thì Hương, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng,Nam,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"7,5m",---,---,20m,---,---
"11,6 tỷ",200 m,Đường Nguyễn Mậu Tài, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Bắc,---,Cần bán,"7,5m",---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,10m,---,---,20m,---,---
"8,5 tỷ",100 m,Đường Kỳ Đồng, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng,Nam,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,2,Y,20m,2,---
"4,9 tỷ",80 m,Đường Tân Phú 2, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng,Tây Bắc,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,16m,---,---
"5,95 tỷ",58 m,Đường Lê Quang Sung, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng,Bắc,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,4m,3,Y,15m,4,---
